fiscal_year,total_assets,total_liabilities,total_equity,parent_equity,total_current_assets,total_current_liabilities,cash,debt_ratio,current_ratio
2021,21078040,9585617,11492423,10603949,12412816,7515880,4217528,0.454768,1.651545
2022,17316231,7732732,9583499,8801020,9048353,6658626,3419166,0.44656,1.358892
2023,15070278,7824374,7245904,6890152,6098124,6828590,2255287,0.519192,0.893028
2024,17592654,12087334,5505320,5168040,6840786,9159435,2648764,0.687067,0.746857
2025,26729189,17416155,9313034,9317026,11023419,9421344,6018043,0.651578,1.170047
