page_title,subsection_title,text
2.净现金流,2.5 FineDataLink数仓,资金流水详情表历史数据
2.净现金流,2.5 FineDataLink数仓,银行账户每日余额表历史数据
2.净现金流,2.5 FineDataLink数仓,) ENGINE=InnoDB DEFAULT CHARSET=utf8mb4 ROW_FORMAT=DYNAMIC COMMENT='银行账户每日余额表-历史数据';
7.营业收入-国际化会员,7.2指标口径/计算规则,国际化老会员流水：历史上有会员订单，且会员过期天数在 180 天及以内（即会员过期时间未超过 180 天）时，再次购买会员的用户所产生的流水（按日统计），日：当日统计老会员续费单流水，月：当月统计老会员续费单流水汇总。
7.营业收入-国际化会员,7.2指标口径/计算规则,国际化新会员流水：历史上没有订单的用户（首次成为会员），或者历史上有订单，但是在会员过期180之后（不含180）又购买会员的用户（过期180天后再次成为会员），日：当日统计新会员续费单流水，月：当月统计新会员续费单流水汇总。
8.净利润,8.6 数据验证结论,无页面数据验证
8.净利润,8.6 数据验证结论,历史数据动态变化，无法回溯验证
10.负反馈率,10.3数据溯源,国际dau历史数据【2025-07-25之前】odm_mk_inter_three_ends
17.业务总览-TOB,17.5 FineDataLink数仓,TOB-签单表在结算中台线上数据未修复的情况下，手工填报持续录入。
